Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Puntuacion(exceptional),Puntuacion(recommended),Puntuacion(meh),Puntuacion(skip)
PS3,2012,Role-Playing,0.1,0.1,0.0,0.03,0.24,3.1,3.45,31.03,51.72,13.79
PC,2012,Role-Playing,0.0,0.07,0.0,0.01,0.08,3.1,3.45,31.03,51.72,13.79
PS3,2007,Action,0.16,0.06,0.0,0.03,0.25,3.45,10.0,55.0,20.0,15.0
X360,2007,Action,0.22,0.01,0.0,0.02,0.25,3.45,10.0,55.0,20.0,15.0
PS4,2016,Misc,0.06,0.14,0.02,0.04,0.25,3.43,6.22,53.37,29.02,11.4
XB,2004,Shooter,0.19,0.05,0.0,0.01,0.25,3.62,7.69,61.54,23.08,7.69
PS3,2010,Action,0.05,0.15,0.0,0.05,0.25,2.8,19.683666666666667,20.0,60.0,20.0
X360,2010,Action,0.07,0.11,0.0,0.02,0.21,2.8,17.425405405405407,20.0,60.0,20.0
PC,2015,Strategy,0.02,0.22,0.0,0.02,0.25,3.92,22.73,51.14,23.86,2.27
PS3,2013,Shooter,0.08,0.13,0.0,0.04,0.25,3.03,3.51,35.94,40.42,20.13
X360,2013,Shooter,0.1,0.1,0.0,0.02,0.21,3.03,3.51,35.94,40.42,20.13
PC,2013,Shooter,0.0,0.05,0.0,0.0,0.05,3.03,3.51,35.94,40.42,20.13
X360,2006,Action,0.21,0.02,0.0,0.02,0.25,3.35,5.88,35.29,52.94,5.88
X360,2011,Action,0.16,0.06,0.0,0.02,0.25,3.1,20.0,30.0,20.0,30.0
DS,2011,Action,0.15,0.05,0.0,0.02,0.22,3.1,20.0,30.0,20.0,30.0
Wii,2011,Action,0.07,0.05,0.0,0.01,0.13,3.1,20.0,30.0,20.0,30.0
PS3,2011,Action,0.04,0.04,0.0,0.01,0.09,3.1,20.0,30.0,20.0,30.0
X360,2011,Action,0.18,0.05,0.0,0.02,0.25,3.58,5.0,57.5,32.5,5.0
PS3,2011,Action,0.13,0.07,0.0,0.03,0.22,3.58,5.0,57.5,32.5,5.0
DS,2011,Action,0.12,0.01,0.0,0.01,0.14,3.58,5.0,57.5,32.5,5.0
3DS,2011,Action,0.08,0.03,0.0,0.01,0.12,3.58,5.0,57.5,32.5,5.0
Wii,2011,Action,0.06,0.02,0.0,0.01,0.09,3.58,5.0,57.5,32.5,5.0
PS2,2008,Action,0.12,0.09,0.0,0.03,0.25,3.45,13.16,50.0,21.05,15.79
Wii,2009,Action,0.19,0.04,0.0,0.02,0.25,4.0,19.89,63.44,15.05,1.61
DS,2009,Action,0.15,0.03,0.0,0.02,0.2,4.0,19.89,63.44,15.05,1.61
PSP,2009,Action,0.13,0.03,0.0,0.03,0.19,4.0,19.89,63.44,15.05,1.61
PS2,2009,Action,0.13,0.0,0.0,0.05,0.18,4.0,19.89,63.44,15.05,1.61
PS4,2014,Action,0.14,0.03,0.04,0.04,0.24,3.55,15.15,48.48,24.24,12.12
PSV,2012,Action,0.1,0.01,0.1,0.04,0.24,3.93,25.93,51.85,16.67,5.56
PS2,2005,Shooter,0.12,0.09,0.0,0.03,0.24,4.36,56.41,33.33,5.13,5.13
XB,2005,Shooter,0.12,0.03,0.0,0.01,0.16,4.36,56.41,33.33,5.13,5.13
GC,2005,Shooter,0.06,0.02,0.0,0.0,0.08,4.36,56.41,33.33,5.13,5.13
PSV,2011,Action,0.05,0.06,0.11,0.02,0.24,2.4,11.425454545454546,13.95,48.84,37.21
X360,2008,Strategy,0.16,0.06,0.0,0.02,0.24,3.97,22.0,59.0,16.0,3.0
PC,2008,Strategy,0.0,0.01,0.0,0.0,0.02,3.97,22.0,59.0,16.0,3.0
PS2,2007,Racing,0.12,0.09,0.0,0.03,0.24,2.89,23.125416666666666,33.33,44.44,22.22
X360,2007,Racing,0.18,0.0,0.0,0.02,0.2,2.89,15.511935483870968,33.33,44.44,22.22
Wii,2007,Racing,0.15,0.0,0.0,0.01,0.16,2.89,20.006,33.33,44.44,22.22
DS,2007,Racing,0.12,0.0,0.0,0.01,0.13,2.89,17.968333333333334,33.33,44.44,22.22
PC,2007,Racing,0.01,0.0,0.0,0.0,0.01,2.89,11.409583333333332,33.33,44.44,22.22
PSP,2007,Action,0.22,0.0,0.0,0.02,0.24,3.08,7.69,38.46,30.77,23.08
PS3,2012,Adventure,0.05,0.14,0.0,0.04,0.24,3.51,9.86,52.82,26.76,10.56
PC,2012,Adventure,0.0,0.06,0.0,0.01,0.07,3.51,9.86,52.82,26.76,10.56
X360,2012,Adventure,0.0,0.02,0.0,0.0,0.02,3.51,9.86,52.82,26.76,10.56
X360,2009,Action,0.16,0.05,0.0,0.02,0.24,3.35,8.82,41.18,38.24,11.76
PS3,2009,Action,0.12,0.05,0.0,0.03,0.2,3.35,8.82,41.18,38.24,11.76
PSV,2013,Role-Playing,0.05,0.02,0.14,0.02,0.23,3.98,38.46,40.66,10.99,9.89
PS3,2013,Role-Playing,0.05,0.02,0.12,0.01,0.2,3.98,38.46,40.66,10.99,9.89
GC,2002,Shooter,0.18,0.05,0.0,0.01,0.23,4.2,46.35,39.76,7.76,6.12
X360,2012,Racing,0.08,0.13,0.0,0.02,0.23,3.29,5.83,47.57,31.55,15.05
PS3,2012,Racing,0.02,0.12,0.0,0.03,0.18,3.29,5.83,47.57,31.55,15.05
PC,2016,Strategy,0.09,0.12,0.0,0.02,0.23,4.09,36.85,46.02,11.93,5.19
PS4,2016,Strategy,0.04,0.08,0.0,0.02,0.14,4.09,36.85,46.02,11.93,5.19
XOne,2016,Strategy,0.02,0.02,0.0,0.0,0.05,4.09,36.85,46.02,11.93,5.19
PS3,2008,Role-Playing,0.14,0.02,0.05,0.02,0.23,0.0,29.41358974358974,40.0,20.0,40.0
Wii,2010,Action,0.17,0.05,0.0,0.02,0.23,2.7,15.906666666666668,30.0,40.0,30.0
PS3,2010,Action,0.1,0.04,0.0,0.02,0.17,2.7,19.683666666666667,30.0,40.0,30.0
PSP,2010,Action,0.07,0.02,0.0,0.02,0.12,2.7,12.89341463414634,30.0,40.0,30.0
DS,2010,Action,0.09,0.02,0.0,0.01,0.11,2.7,13.312765957446809,30.0,40.0,30.0
PS2,2010,Action,0.03,0.02,0.0,0.01,0.06,2.7,25.080000000000002,30.0,40.0,30.0
PS3,2012,Adventure,0.19,0.01,0.0,0.03,0.23,3.48,10.87,43.48,36.96,8.7
SNES,1996,Role-Playing,0.0,0.0,0.23,0.0,0.23,2.86,52.872222222222234,42.86,28.57,28.57
PS4,2016,Role-Playing,0.0,0.0,0.23,0.0,0.23,3.95,29.18,49.18,15.41,6.23
PS3,2016,Role-Playing,0.0,0.0,0.12,0.0,0.12,3.95,29.18,49.18,15.41,6.23
PS3,2011,Role-Playing,0.14,0.0,0.07,0.02,0.23,4.0,36.36,45.45,9.09,9.09
Wii,2011,Role-Playing,0.13,0.0,0.06,0.01,0.19,4.0,36.36,45.45,9.09,9.09
PC,2012,Role-Playing,0.0,0.19,0.0,0.03,0.22,3.43,13.55,45.26,26.56,14.63
PS3,2012,Role-Playing,0.04,0.13,0.01,0.04,0.22,3.43,13.55,45.26,26.56,14.63
X360,2012,Role-Playing,0.05,0.08,0.0,0.01,0.14,3.43,13.55,45.26,26.56,14.63
PSV,2014,Action,0.0,0.08,0.12,0.02,0.22,3.66,28.12,34.38,25.0,12.5
GC,2004,Action,0.17,0.04,0.0,0.01,0.22,4.22,33.33,55.56,11.11,7.477222222222222
PS2,2004,Action,0.1,0.08,0.0,0.03,0.21,4.22,33.33,55.56,11.11,9.527232142857143
X360,2009,Strategy,0.15,0.02,0.03,0.01,0.22,3.32,9.2,49.43,23.37,18.01
PC,2009,Strategy,0.0,0.04,0.0,0.01,0.04,3.32,9.2,49.43,23.37,18.01
Wii,2010,Adventure,0.12,0.08,0.0,0.02,0.22,2.75,6.3,41.67,25.0,33.33
PS3,2010,Adventure,0.11,0.05,0.0,0.02,0.18,2.75,32.91571428571429,41.67,25.0,33.33
X360,2010,Adventure,0.11,0.04,0.0,0.01,0.17,2.75,21.695999999999998,41.67,25.0,33.33
PC,2010,Adventure,0.0,0.03,0.0,0.01,0.04,2.75,21.153636363636362,41.67,25.0,33.33
PS,1996,Platform,0.12,0.08,0.0,0.01,0.21,3.18,8.16,46.94,22.45,22.45
PS2,2004,Role-Playing,0.1,0.08,0.0,0.03,0.21,3.5,18.92,36.49,32.43,12.16
XB,2004,Role-Playing,0.08,0.02,0.0,0.0,0.1,3.5,18.92,36.49,32.43,12.16
PS3,2013,Role-Playing,0.06,0.03,0.1,0.02,0.21,3.88,25.0,62.5,20.825853658536587,12.5
PS3,2012,Adventure,0.04,0.13,0.0,0.04,0.21,4.33,53.81,32.9,9.33,3.96
PSV,2014,Action,0.06,0.01,0.12,0.02,0.21,3.72,17.14,57.14,16.19,9.52
Wii,2009,Platform,0.18,0.01,0.0,0.01,0.21,3.02,4.76,35.71,38.1,21.43
PSP,2005,Adventure,0.18,0.01,0.0,0.02,0.21,3.85,23.08,53.85,15.38,7.69
X360,2007,Action,0.18,0.0,0.01,0.01,0.21,2.12,17.425405405405407,12.5,37.5,50.0
X360,2009,Action,0.12,0.05,0.02,0.02,0.21,3.33,18.52,48.15,7.41,25.93
PS3,2011,Platform,0.11,0.07,0.0,0.03,0.21,3.35,12.24,42.86,28.57,16.33
Wii,2011,Platform,0.11,0.06,0.0,0.02,0.18,3.35,12.24,42.86,28.57,16.33
X360,2011,Platform,0.1,0.04,0.0,0.01,0.15,3.35,12.24,42.86,28.57,16.33
DS,2011,Platform,0.08,0.02,0.0,0.01,0.11,3.35,12.24,42.86,28.57,16.33
X360,2010,Shooter,0.19,0.0,0.0,0.01,0.21,1.83,17.13773913043478,16.67,16.67,66.67
Wii,2010,Shooter,0.11,0.0,0.0,0.01,0.12,1.83,31.66428571428571,16.67,16.67,66.67
PS3,2010,Shooter,0.03,0.0,0.0,0.0,0.04,1.83,15.4375,16.67,16.67,66.67
PS2,2005,Action,0.1,0.08,0.0,0.03,0.21,2.65,25.080000000000002,29.41,38.24,32.35
XB,2005,Action,0.08,0.02,0.0,0.0,0.11,2.65,21.469148936170214,29.41,38.24,32.35
PS,2000,Fighting,0.12,0.08,0.0,0.01,0.21,2.74,31.96181818181818,31.43,40.0,28.57
PS2,2005,Action,0.1,0.08,0.0,0.03,0.21,3.81,8.33,69.44,19.44,2.78
XB,2005,Action,0.06,0.02,0.0,0.0,0.08,3.81,8.33,69.44,19.44,2.78
PS4,2015,Sports,0.09,0.08,0.0,0.03,0.21,2.6,4.0,16.0,48.0,32.0
XOne,2015,Sports,0.09,0.02,0.0,0.01,0.12,2.6,4.0,16.0,48.0,32.0
X360,2015,Sports,0.06,0.0,0.0,0.01,0.07,2.6,4.0,16.0,48.0,32.0
PS3,2015,Sports,0.05,0.0,0.0,0.01,0.06,2.6,4.0,16.0,48.0,32.0
PS,2000,Adventure,0.11,0.08,0.0,0.01,0.21,3.94,25.0,56.25,12.5,6.25
PS3,2013,Shooter,0.07,0.05,0.06,0.02,0.21,3.26,8.77,35.09,42.69,13.45
X360,2013,Shooter,0.07,0.03,0.01,0.01,0.12,3.26,8.77,35.09,42.69,13.45
PC,2013,Shooter,0.0,0.04,0.0,0.0,0.04,3.26,8.77,35.09,42.69,13.45
PC,2003,Role-Playing,0.0,0.19,0.0,0.01,0.2,3.37,17.54,33.63,32.75,16.08
PS4,2015,Shooter,0.05,0.12,0.0,0.03,0.2,3.36,5.88,47.59,34.76,11.76
XOne,2015,Shooter,0.05,0.05,0.0,0.01,0.11,3.36,5.88,47.59,34.76,11.76
PS3,2013,Role-Playing,0.07,0.02,0.1,0.02,0.2,3.57,42.86,28.57,20.825853658536587,28.57
3DS,2012,Action,0.16,0.0,0.03,0.01,0.2,2.43,16.962222222222223,28.57,28.57,42.86
PS,1997,Shooter,0.11,0.08,0.0,0.01,0.2,3.53,19.64,47.02,16.67,16.67
PSP,2008,Action,0.02,0.0,0.18,0.0,0.2,3.85,19.23,61.54,11.54,7.69
PS3,2010,Simulation,0.11,0.06,0.0,0.03,0.2,2.38,12.5,12.5,25.0,50.0
X360,2010,Simulation,0.12,0.03,0.0,0.01,0.16,2.38,12.5,12.5,25.0,50.0
PC,2010,Simulation,0.0,0.03,0.0,0.0,0.03,2.38,12.5,12.5,25.0,50.0
DC,2000,Role-Playing,0.0,0.0,0.2,0.0,0.2,4.34,43.4,47.17,9.43,6.82
PS2,2005,Action,0.1,0.08,0.0,0.03,0.2,4.0,33.33,46.67,13.33,6.67
GC,2005,Action,0.09,0.02,0.0,0.0,0.12,4.0,33.33,46.67,13.33,6.67
DS,2005,Action,0.05,0.0,0.0,0.0,0.06,4.0,33.33,46.67,13.33,6.67
XB,2005,Action,0.03,0.01,0.0,0.0,0.04,4.0,33.33,46.67,13.33,6.67
PS3,2011,Shooter,0.06,0.04,0.08,0.02,0.2,3.21,10.53,31.58,42.11,15.79
X360,2011,Shooter,0.1,0.04,0.03,0.01,0.19,3.21,10.53,31.58,42.11,15.79
PC,2012,Strategy,0.07,0.1,0.0,0.02,0.2,4.31,38.46,53.85,7.69,14.216593406593407
PS2,2004,Action,0.1,0.08,0.0,0.03,0.2,3.2,15.0,35.0,27.5,22.5
XB,2004,Action,0.06,0.02,0.0,0.0,0.09,3.2,15.0,35.0,27.5,22.5
X360,2007,Shooter,0.18,0.0,0.0,0.02,0.2,2.48,4.17,18.75,37.5,39.58
PS3,2007,Shooter,0.12,0.02,0.0,0.01,0.15,2.48,4.17,18.75,37.5,39.58
PSV,2012,Action,0.1,0.05,0.0,0.04,0.2,2.29,2.38,14.29,38.1,45.24
PS,2000,Action,0.11,0.07,0.0,0.01,0.2,4.2,28.0,64.0,8.0,10.429166666666665
PS3,2011,Fighting,0.04,0.04,0.1,0.02,0.2,3.67,22.22,44.44,22.22,11.11
X360,2011,Fighting,0.0,0.02,0.02,0.0,0.05,3.67,22.22,44.44,22.22,11.11
PS3,2006,Simulation,0.09,0.0,0.09,0.01,0.2,3.57,14.29,57.14,14.29,14.29
PS2,2003,Action,0.1,0.07,0.0,0.02,0.2,0.0,25.080000000000002,20.0,20.0,60.0
XB,2003,Action,0.05,0.01,0.0,0.0,0.06,0.0,21.469148936170214,20.0,20.0,60.0
PS3,2014,Action,0.03,0.12,0.02,0.03,0.2,3.78,22.13,49.18,20.9,7.79
X360,2014,Action,0.02,0.06,0.0,0.01,0.09,3.78,22.13,49.18,20.9,7.79
PC,2014,Action,0.01,0.03,0.0,0.0,0.04,3.78,22.13,49.18,20.9,7.79
PS2,2005,Shooter,0.1,0.07,0.0,0.02,0.19,3.39,4.38,53.75,30.0,11.88
XB,2005,Shooter,0.07,0.02,0.0,0.0,0.09,3.39,4.38,53.75,30.0,11.88
PC,2005,Shooter,0.0,0.01,0.0,0.0,0.02,3.39,4.38,53.75,30.0,11.88
PSP,2012,Misc,0.0,0.0,0.19,0.0,0.19,4.39,59.8,29.9,4.98,5.32
PS3,2011,Action,0.1,0.06,0.0,0.03,0.19,3.39,5.56,61.11,16.67,16.67
X360,2011,Action,0.11,0.05,0.0,0.01,0.17,3.39,5.56,61.11,16.67,16.67
3DS,2011,Action,0.05,0.02,0.0,0.01,0.08,3.39,5.56,61.11,16.67,16.67
X360,2006,Role-Playing,0.16,0.02,0.0,0.02,0.19,3.29,9.68,35.48,41.94,12.9
X360,2008,Shooter,0.08,0.09,0.0,0.02,0.19,2.67,4.44,20.0,44.44,31.11
PS3,2008,Shooter,0.05,0.1,0.0,0.03,0.19,2.67,4.44,20.0,44.44,31.11
PC,2008,Shooter,0.0,0.01,0.0,0.0,0.01,2.67,4.44,20.0,44.44,31.11
Wii,2008,Action,0.17,0.0,0.0,0.01,0.19,3.7,15.906666666666668,70.0,30.0,11.28574074074074
X360,2008,Action,0.09,0.01,0.0,0.01,0.11,3.7,17.425405405405407,70.0,30.0,13.529627329192547
DS,2008,Action,0.07,0.0,0.0,0.01,0.08,3.7,13.312765957446809,70.0,30.0,13.104897959183674
PS3,2010,Shooter,0.05,0.09,0.02,0.03,0.19,2.46,7.69,23.08,23.08,46.15
X360,2010,Shooter,0.06,0.02,0.0,0.01,0.09,2.46,7.69,23.08,23.08,46.15
X360,2008,Fighting,0.15,0.02,0.0,0.02,0.19,3.22,15.110500000000002,22.22,77.78,13.522727272727273
PS3,2008,Fighting,0.13,0.02,0.0,0.02,0.17,3.22,14.682727272727272,22.22,77.78,12.053749999999999
PS2,2006,Role-Playing,0.0,0.0,0.19,0.0,0.19,3.24,11.76,23.53,52.94,11.76
X360,2006,Role-Playing,0.09,0.01,0.0,0.01,0.12,3.24,11.76,23.53,52.94,11.76
PSV,2014,Role-Playing,0.02,0.02,0.13,0.01,0.19,4.31,47.62,45.24,2.38,4.76
PS3,2014,Role-Playing,0.02,0.02,0.11,0.01,0.15,4.31,47.62,45.24,2.38,4.76
X360,2009,Role-Playing,0.07,0.11,0.0,0.01,0.19,3.8,19.38,56.29,16.7,7.63
PC,2009,Role-Playing,0.0,0.11,0.0,0.02,0.14,3.8,19.38,56.29,16.7,7.63
PS3,2009,Shooter,0.17,0.0,0.0,0.02,0.19,0.0,15.4375,25.0,50.0,25.0
Wii,2009,Shooter,0.14,0.0,0.0,0.01,0.15,0.0,31.66428571428571,25.0,50.0,25.0
PS2,2009,Shooter,0.07,0.06,0.0,0.02,0.14,0.0,21.276944444444442,25.0,50.0,25.0
X360,2009,Shooter,0.12,0.0,0.0,0.01,0.13,0.0,17.13773913043478,25.0,50.0,25.0
PS3,2010,Sports,0.11,0.05,0.0,0.03,0.19,4.0,30.0,40.0,30.0,19.377631578947366
Wii,2010,Sports,0.13,0.03,0.0,0.01,0.18,4.0,30.0,40.0,30.0,14.145925925925926
X360,2010,Sports,0.1,0.05,0.0,0.01,0.16,4.0,30.0,40.0,30.0,19.442749999999997
PC,2010,Sports,0.0,0.03,0.0,0.01,0.03,4.0,30.0,40.0,30.0,13.08318181818182
PS3,2011,Simulation,0.1,0.06,0.0,0.03,0.19,2.5,11.31,30.0,30.0,40.0
X360,2011,Simulation,0.06,0.02,0.0,0.01,0.08,2.5,15.116666666666667,30.0,30.0,40.0
PC,2011,Simulation,0.0,0.02,0.0,0.01,0.03,2.5,26.25880952380952,30.0,30.0,40.0
PS3,2013,Role-Playing,0.05,0.03,0.09,0.02,0.19,3.34,10.34,48.28,24.14,17.24
XB,2003,Action,0.14,0.04,0.0,0.01,0.18,3.78,13.73,66.67,11.76,7.84
SAT,1997,Fighting,0.0,0.0,0.18,0.0,0.18,3.32,4.76,52.63,36.84,10.53
PS3,2011,Shooter,0.17,0.0,0.0,0.02,0.18,3.17,16.67,33.33,25.0,25.0
Wii,2011,Shooter,0.09,0.0,0.0,0.01,0.1,3.17,16.67,33.33,25.0,25.0
PC,2011,Shooter,0.02,0.0,0.0,0.0,0.02,3.17,16.67,33.33,25.0,25.0
Wii,2016,Misc,0.06,0.11,0.0,0.01,0.18,3.8,14.29,66.67,11.43,7.62
WiiU,2016,Misc,0.03,0.06,0.0,0.01,0.09,3.8,14.29,66.67,11.43,7.62
PS3,2016,Misc,0.01,0.03,0.0,0.01,0.05,3.8,14.29,66.67,11.43,7.62
XOne,2016,Misc,0.03,0.0,0.0,0.0,0.04,3.8,14.29,66.67,11.43,7.62
X360,2016,Misc,0.02,0.02,0.0,0.0,0.04,3.8,14.29,66.67,11.43,7.62
PS4,2016,Misc,0.02,0.0,0.0,0.01,0.03,3.8,14.29,66.67,11.43,7.62
PS,2001,Action,0.1,0.07,0.0,0.01,0.18,4.55,54.55,45.45,17.761071428571427,10.429166666666665
PS,1997,Platform,0.0,0.0,0.17,0.01,0.18,4.48,54.84,38.71,6.45,6.199473684210526
PSV,2014,Adventure,0.08,0.01,0.06,0.03,0.18,0.0,25.416666666666668,50.0,25.0,25.0
WiiU,2016,Platform,0.09,0.08,0.0,0.02,0.18,3.67,22.22,22.22,55.56,13.975555555555555
PS4,2016,Platform,0.04,0.08,0.0,0.02,0.14,3.67,22.22,22.22,55.56,14.495714285714286
PS3,2016,Platform,0.02,0.07,0.0,0.02,0.11,3.67,22.22,22.22,55.56,9.8775
XOne,2016,Platform,0.05,0.04,0.0,0.01,0.1,3.67,22.22,22.22,55.56,22.400000000000002
X360,2016,Platform,0.04,0.05,0.0,0.01,0.09,3.67,22.22,22.22,55.56,12.531538461538462
N64,1999,Racing,0.14,0.04,0.0,0.0,0.18,4.18,27.4,63.01,9.59,2.923333333333334
PS3,2014,Racing,0.05,0.09,0.01,0.03,0.18,3.66,10.4,55.94,28.22,5.45
X360,2014,Racing,0.03,0.05,0.0,0.01,0.09,3.66,10.4,55.94,28.22,5.45
PC,2014,Racing,0.0,0.02,0.0,0.0,0.02,3.66,10.4,55.94,28.22,5.45
X360,2009,Shooter,0.14,0.02,0.01,0.01,0.18,2.95,4.17,28.33,46.67,20.83
PS2,2005,Action,0.09,0.07,0.0,0.02,0.17,3.85,19.7,54.55,21.21,4.55
XB,2005,Action,0.07,0.02,0.0,0.0,0.09,3.85,19.7,54.55,21.21,4.55
XOne,2014,Misc,0.11,0.05,0.0,0.02,0.17,2.43,2.7,24.32,29.73,43.24
GC,2006,Platform,0.13,0.03,0.0,0.0,0.17,3.36,21.43,35.71,21.43,21.43
DS,2006,Platform,0.12,0.0,0.0,0.01,0.13,3.36,21.43,35.71,21.43,21.43
X360,2006,Platform,0.1,0.0,0.0,0.01,0.11,3.36,21.43,35.71,21.43,21.43
PSP,2006,Platform,0.07,0.0,0.0,0.01,0.07,3.36,21.43,35.71,21.43,21.43
Wii,2006,Platform,0.06,0.0,0.0,0.01,0.07,3.36,21.43,35.71,21.43,21.43
PS2,2006,Platform,0.01,0.01,0.0,0.0,0.03,3.36,21.43,35.71,21.43,21.43
PS3,2011,Simulation,0.06,0.08,0.0,0.03,0.17,3.0,11.31,33.33,50.0,16.67
X360,2009,Racing,0.06,0.09,0.0,0.02,0.17,0.0,15.511935483870968,40.0,40.0,20.0
PS,1996,Action,0.1,0.07,0.0,0.01,0.17,3.73,20.0,60.0,6.67,13.33
PS4,2015,Racing,0.0,0.12,0.03,0.02,0.17,3.1,10.0,30.0,40.0,20.0
PS3,2015,Racing,0.0,0.02,0.03,0.0,0.05,3.1,10.0,30.0,40.0,20.0
XOne,2015,Racing,0.0,0.03,0.0,0.0,0.03,3.1,10.0,30.0,40.0,20.0
PS3,2009,Strategy,0.13,0.02,0.0,0.02,0.17,0.0,18.6025,20.0,20.0,60.0
X360,2009,Strategy,0.11,0.03,0.0,0.01,0.15,0.0,16.958333333333336,20.0,20.0,60.0
PC,2009,Strategy,0.0,0.02,0.0,0.0,0.02,0.0,26.707411764705885,20.0,20.0,60.0
PS3,2011,Platform,0.08,0.06,0.0,0.03,0.17,3.0,11.11,22.22,44.44,22.22
X360,2006,Sports,0.15,0.0,0.0,0.01,0.17,3.79,14.29,64.29,14.29,7.14
DS,2006,Sports,0.05,0.0,0.0,0.0,0.05,3.79,14.29,64.29,14.29,7.14
PSV,2013,Role-Playing,0.1,0.0,0.04,0.03,0.17,3.1,18.937142857142856,50.0,30.0,20.0
3DS,2013,Role-Playing,0.09,0.0,0.03,0.01,0.12,3.1,29.258000000000003,50.0,30.0,20.0
PS2,2004,Action,0.08,0.06,0.0,0.02,0.17,2.04,25.080000000000002,12.5,33.33,54.17
GC,2004,Action,0.05,0.01,0.0,0.0,0.07,2.04,24.85777777777778,12.5,33.33,54.17
XB,2004,Action,0.04,0.01,0.0,0.0,0.06,2.04,21.469148936170214,12.5,33.33,54.17
GBA,2004,Action,0.03,0.01,0.0,0.0,0.04,2.04,21.392380952380954,12.5,33.33,54.17
X360,2009,Action,0.14,0.02,0.0,0.01,0.17,2.83,17.425405405405407,50.0,16.67,33.33
PS3,2009,Action,0.11,0.03,0.0,0.02,0.17,2.83,19.683666666666667,50.0,16.67,33.33
X360,2007,Misc,0.14,0.01,0.0,0.01,0.17,3.0,5.56,22.22,55.56,16.67
PS3,2011,Action,0.07,0.06,0.01,0.03,0.17,2.66,2.86,17.14,51.43,28.57
X360,2011,Action,0.08,0.05,0.0,0.01,0.15,2.66,2.86,17.14,51.43,28.57
PC,2011,Action,0.0,0.03,0.0,0.01,0.03,2.66,2.86,17.14,51.43,28.57
X360,2009,Sports,0.13,0.02,0.0,0.01,0.16,2.64,16.787567567567567,36.36,27.27,36.36
PC,2009,Sports,0.02,0.02,0.0,0.0,0.04,2.64,18.848181818181818,36.36,27.27,36.36
PC,2005,Strategy,0.02,0.12,0.0,0.03,0.16,4.08,33.62,52.59,7.76,6.03
PS2,2003,Action,0.08,0.06,0.0,0.02,0.16,4.18,49.02,39.22,1.96,9.8
PS3,2009,Fighting,0.11,0.01,0.03,0.01,0.16,3.47,23.53,35.29,23.53,17.65
X360,2009,Fighting,0.09,0.0,0.01,0.01,0.11,3.47,23.53,35.29,23.53,17.65
DS,2006,Action,0.13,0.02,0.0,0.01,0.16,2.5,13.312765957446809,30.77,28.85,40.38
X360,2006,Action,0.12,0.01,0.0,0.01,0.14,2.5,17.425405405405407,30.77,28.85,40.38
PSP,2006,Action,0.1,0.0,0.0,0.01,0.11,2.5,12.89341463414634,30.77,28.85,40.38
X360,2006,Sports,0.15,0.0,0.0,0.01,0.16,0.0,60.0,43.49564102564102,40.0,19.442749999999997
PS4,2016,Adventure,0.0,0.0,0.16,0.0,0.16,4.08,37.8,44.71,11.14,6.35
PS3,2016,Adventure,0.0,0.0,0.12,0.0,0.12,4.08,37.8,44.71,11.14,6.35
PS2,2006,Racing,0.08,0.06,0.0,0.02,0.16,4.31,39.07,55.08,4.65,1.2
XB,2006,Racing,0.03,0.01,0.0,0.0,0.04,4.31,39.07,55.08,4.65,1.2
X360,2005,Sports,0.13,0.02,0.0,0.01,0.16,3.69,15.38,53.85,23.08,7.69
PS3,2013,Action,0.02,0.02,0.11,0.01,0.16,3.41,11.11,48.15,25.93,14.81
PSV,2013,Action,0.03,0.02,0.05,0.02,0.12,3.41,11.11,48.15,25.93,14.81
PS3,2012,Role-Playing,0.04,0.02,0.08,0.01,0.15,3.08,29.41358974358974,58.33,16.67,25.0
PS3,2008,Sports,0.11,0.02,0.0,0.02,0.15,3.9,30.0,50.0,10.0,10.0
X360,2008,Sports,0.08,0.01,0.0,0.01,0.1,3.9,30.0,50.0,10.0,10.0
DS,2009,Puzzle,0.14,0.0,0.0,0.01,0.15,2.36,22.281666666666666,9.09,54.55,36.36
XB,2004,Shooter,0.11,0.03,0.0,0.01,0.15,3.08,23.42147058823529,25.0,66.67,8.33
PSV,2014,Role-Playing,0.0,0.0,0.15,0.0,0.15,3.0,4.17,41.67,29.17,25.0
DS,2008,Shooter,0.12,0.01,0.01,0.01,0.15,4.14,14.29,85.71,21.246666666666666,5.79
PSP,2008,Shooter,0.06,0.01,0.01,0.01,0.09,4.14,14.29,85.71,29.758000000000003,9.94
Wii,2011,Action,0.1,0.04,0.0,0.01,0.15,2.76,11.76,11.76,47.06,29.41
X360,2011,Action,0.09,0.04,0.0,0.01,0.14,2.76,11.76,11.76,47.06,29.41
PS3,2011,Action,0.07,0.05,0.0,0.02,0.14,2.76,11.76,11.76,47.06,29.41
DS,2011,Action,0.08,0.03,0.0,0.01,0.12,2.76,11.76,11.76,47.06,29.41
3DS,2011,Action,0.06,0.03,0.0,0.01,0.1,2.76,11.76,11.76,47.06,29.41
3DS,2013,Action,0.04,0.07,0.03,0.01,0.15,3.71,11.9,62.7,17.46,7.94
PS4,2016,Fighting,0.07,0.02,0.04,0.02,0.15,3.63,16.95,52.54,18.64,11.86
PC,2012,Adventure,0.0,0.13,0.0,0.02,0.15,3.83,26.74,48.3,15.51,9.45
